idUnified,Li,Na,K,Mg,Ca,Cl,SO4,HCO3,Temperature
434,,7780,97,18.400001,5030,,,,99
435,,161,69,80.000001,455,,,,70
436,,986,105,3.500001,52,1667,76,41.000001,195
437,,25290,4300,1950.000001,17640,81500,149,134.000001,100
438,,21610,2870,78.000001,7340,50390,25,20.000001,290
439,,22,16,2.100001,9,9,43,36.000001,115
440,,4839,872,22.500001,341,,,,228
441,,68.2,1.4,0.050001,1.9,,,,96
442,,1360,17,12.000001,560,,,,110
443,,149,3.2,0.070001,17.6,,,,72
444,,68.5,3.4,0.030001,4.4,,,,102
445,,74.5,2.7,0.060001,0.7,,,,100
446,,69.3,1.9,0.180001,3.4,,,,99
447,,186,18.3,0.240001,1.6,,,,220
448,,154.7,3.7,0.050001,14.8,,,,63
449,,138.9,5.2,0.040001,10.2,,,,70
450,,1110,31.4,0.300001,252,,,,94
451,,210,13.8,0.220001,10.6,,,,151
452,,680,40.4,0.500001,90.8,,,,183
453,,700,119,0.380001,42.4,,,,258
454,,227,21.5,0.130001,11.5,,,,192
455,,62.2,2.3,0.030001,1.9,,,,136
456,,196,4.2,2.400001,54,,,,74
457,,96.2,2.3,1.00E-06,8.2,,,,69
458,,11920,1700,25.000001,2038,,,,225
459,,166,4.8,0.070001,28.3,,,,84
460,,172,5.1,0.100001,31.4,,,,79
461,,271.5,5.9,0.040001,60.8,,,,83
462,,264,144,8.700001,22.9,,,,240
463,,8487,1969,0.240001,403,,,,299
464,,5199,1551,0.060001,208,,,,315
465,,5405,1956,0.070001,333,,,,343
466,,1452,369.6,0.020001,7.1,,,,278
467,,980,200,0.020001,2.4,,,,258
468,,915,152,0.160001,3.5,,,,278
469,,745,123,0.160001,2.6,,,,262
470,,883,156,0.130001,1,,,,285
471,,688,119,0.320001,2,,,,259
472,,860,155,0.060001,10,,,,275
473,,635,88,0.060001,9,,,,199
474,,1300,192,0.020001,23,,,,220
475,,1300,220,0.040001,18,,,,243
